start, end, band , stage, highlight
2022-08-20T12:00, 2022-08-20T12:40, INFECTED RAIN, Main, false
2022-08-20T12:55, 2022-08-20T13:35, NEKROGOBLIKON, Main, false
2022-08-20T13:50, 2022-08-20T14:35, BRAINSTORM, Main, false
2022-08-20T15:00, 2022-08-20T15:45, FIDDLER'S GREEN, Main, false
2022-08-20T16:10, 2022-08-20T17:10, Dark Funeral, Main, true
2022-08-20T17:40, 2022-08-20T18:40, BURY TOMORROW, Main, false
2022-08-20T19:10, 2022-08-20T20:30, BLIND GUARDIAN, Main, false
2022-08-20T21:15, 2022-08-20T22:45, HEAVEN SHALL BURN, Main, false
2022-08-20T23:25, 2022-08-21T00:35, HYPOCRISY, Main, false
2022-08-21T01:00, 2022-08-21T02:00, J.B.O., Main, false
2022-08-20T11:30, 2022-08-20T12:15, CRISIX, T-Stage, false
2022-08-20T12:55, 2022-08-20T13:40, BROTHERS OF METAL, T-Stage, false
2022-08-20T14:20, 2022-08-20T15:05, ANALEPSY, T-Stage, false
2022-08-20T15:45, 2022-08-20T16:30, AVATARIUM, T-Stage, false
2022-08-20T17:10, 2022-08-20T17:55, PRIMAL FEAR, T-Stage, false
2022-08-20T18:35, 2022-08-20T19:35, BENEDICTION, T-Stage, false
2022-08-20T20:30, 2022-08-20T21:30, IGNITE, T-Stage, false
2022-08-20T22:25, 2022-08-20T23:25, COMBICHRIST, T-Stage, false
2022-08-21T00:20, 2022-08-21T01:20, CYPECORE, T-Stage, false
2022-08-21T02:15, 2022-08-21T03:00, IGORRR, T-Stage, false
2022-08-20T12:20, 2022-08-20T12:50, DEFOCUS, Wera, false
2022-08-20T13:45, 2022-08-20T14:15, SKYEYE, Wera, false
2022-08-20T15:10, 2022-08-20T15:40, TEMPTATIONS FOR THE WEAK, Wera, false
2022-08-20T16:35, 2022-08-20T17:05, ACRANIUS, Wera, false
2022-08-20T18:00, 2022-08-20T18:30, LÜT, Wera, false
2022-08-20T19:40, 2022-08-20T20:25, LIK, Wera, false
2022-08-20T21:35, 2022-08-20T22:20, AGRYPNIE, Wera, false
2022-08-20T23:30, 2022-08-21T00:15, BORN FROM PAIN, Wera, false
2022-08-21T01:25, 2022-08-21T02:10, HAMMER KING, Wera, false
2022-08-20T14:00, 2022-08-20T15:00, RANDALE, Party, false
2022-08-20T15:30, 2022-08-20T16:00, KNOGJÄRN, Party, false
2022-08-20T16:30, 2022-08-20T17:00, STORM, Party, false
2022-08-20T17:30, 2022-08-20T18:00, FIXATION, Party, false
2022-08-20T18:30, 2022-08-20T19:00, NAVIAN, Party, false
